英文单词,中文意思,难度
jug,n.(有柄，小口，可盛水等的)大壶，罐，盂,▲
junction,"n.连接,接合,交叉点,枢纽站,接头,中继线",
jungle,"n.丛林,生死地带",▲
junior,"a./n.年少的/者,三年级的/学生,下级(的)",
junk,n.废物，旧货；舢板,▲
jury,n.陪审团;全体评审员,▲
justice,"n.公正,公平;审判,司法",
justify,v.证明...正当(或有理、正确)，为...辩护,
juvenile,"n.青少年,少年读物 a.青少年的, 幼稚的",▲
keen,"a.锋利的;敏锐的;敏捷的;(on)热心的,渴望的",▲
kettle,n.水壶,▲
kidnap,vt.诱拐；绑架，劫持,
kidney,"n.肾,肾脏",
kin,"n.家族,亲属,血缘关系 a.亲属关系的,同类的",▲
kindergarten,n.幼儿园,▲
kingdom,"n.王国,领域",
kit,"n.成套工具,用具包,工具箱",△
knit,"v.编织,编结;接合,粘合",▲
knob,"n.门把,(球形)把手,旋纽",△
knot,n.(绳)结;(树)节;节(=海里/小时) v.打结,▲
label,n.标签 v.把...称为；用标签于；用标签标明,
laboratory,n.实验室研究室,
lace,"n.花边;带子,鞋带 v.系带,扎带",▲
lad,"n.男孩,小伙子",▲
lag,"v./n.落后,滞后 vt.用隔热材料覆盖(锅炉等)",▲
lamb,"n.羔羊,小羊;羔羊肉",▲
lame,"a.跛的,(辩解、论据等)无说服力的",▲
landlord,"n.房东,地主",
lane,"n.小路,小巷,行车道",▲
lantern,"n.灯,灯笼",▲
lap,"n.大腿,(跑道的)一圈,一段路程,工作阶段",
lapse,"n.失误,流逝,丧失,下降 v.失效,偏离,流逝",△
laptop,n.膝上型电脑,
largely,"ad.主要地,基本上;大量地,大规模地",
laser,n.激光,
latent,"a.潜在的,潜伏的,不易察觉的",▲
lateral,"n.侧面的,旁边的",▲
latitude,"n.纬度,行动或言论的自由(范围),(pl.)地区",
latter,a.后者的；后一半的，接近终了的 n.后者,▲
launch,"v.发射;使(船)下水,发动,开展 n.发射,下水",
laundry,"n.洗衣房(店);待洗衣物,所洗衣物",△
lavatory,"n.厕所,盥洗室",▲
lawn,"n.草地,草坪",▲
layer,n.层，层次；铺设者,
layman,n.外行,▲
layoff,"n.临时解雇,操作停止,活动停止期间,失业期",▲
layout,n.安排，布局，设计；规划图，布局图,▲
leading,"a.领导的,指导的;第一位的;最主要的",
leaflet,"n.小叶,嫩叶;传单,活页",△
lean,"v.倾斜,屈身;倚,靠,依赖 a.瘦的,无脂肪的",▲
leap,"v.跳,跳跃 n.跳跃,飞跃",▲
learned,"a.博学的,有学问的",
lease,"vt.出租,租用 n.租借,租期,租赁物",▲
leather,"n.皮革,皮革制品",
legacy,n.遗产，遗赠；先人(或过去)留下的东西,▲
legal,"a.法律的,法定的;合法的,正当的",
legend,"n.传说,传奇",
legislation,n.法律(规)；立法，法律的制定(或通过),▲
legitimate,a.合法的; 合理的; 嫡出的；vt.使合法,▲
leisure,"n.空闲,闲暇;悠闲,安逸",
lens,"n.透镜,镜头",
lest,"conj.惟恐,免得",▲
lever,"n.杆,杠杆,手段,途径,工具",▲
levy,"n.征收,征税,征兵 v.征收,征集,征用,扣押",▲
liability,"n.责任,义务;(pl.)债务",
liable,a.有...倾向的；可能遭受...的；有责任的,▲
liberal,"a.慷慨的,大方的;富足的;自由的,思想开放的",△
liberty,n.自由，自由权；特权,
librarian,n.图书管理员,
license,"n.(licence)许可证,执照 v.准许,认可",
lick,vt.舔；(火焰或浪)掠过；打败 n.舔；少量,▲
lid,n.盖,
lightning,"n.闪电 a.闪电般的,快速的",△
likelihood,n.可能性,
likely,"a.很可能的,有希望的 ad.大概,多半",
likewise,"ad.同样地,照样地;又,也,而且",
limb,"n.肢,翼,大树枝",▲
limitation,"n.限制,局限性",
limited,"a.有限的,被限制的",
limp,"a.柔软的,易曲的 v./n.蹒跚,跛行",▲
linear,a.线的，直线的，线状的；长度的；线性的,
linen,"n.亚麻布,亚麻布制品      【习】家丑不可外扬 ",▲
liner,"n.班机,定期轮船,邮船",▲
linger,"v.逗留,徘徊,拖延,留恋,浪费光阴,苟延残喘",▲
linguistic,a.语言的，语言学的,
link,"v.连接,联系 n.环节,链环",
liquid,"n.液体 a.液体的,液态的",
liquor,n.酒；溶液，液剂,▲
literacy,"n.有文化,有教养,有读写能力",
literally,"ad.照字面意义,逐字地；确实,简直",△
literary,"a.文学上的,文学的;精通文学的,从事写作的",△
literature,"n.文学,文学作品,文献,图书资料,印刷品",
litre,n.(liter)升；公升(容量单位),
litter,"n.垃圾,(杂乱的)废物 v.使杂乱,乱丢",▲
liver,"n.肝,肝脏",
loaf,"n.一个面包,块,游荡；v.游荡, 虚度光阴",▲
loan,"n.贷款;出借,借出 v.借出",
lobby,"n.门廊,门厅,(会议)休息厅；v.游说议员",▲
locality,"n.位置,地点",
locate,"v.查出,探出,查找…地点,使…坐落于,位于",
location,"n.位置,场所,定位,测位",
locker,"n.更衣箱,柜,抽屉",▲
locomotive,"n.机车,火车头 a.运动的,移动的,运载的",▲
lodge,"v.临时住宿,寄宿,寄存,容纳n.传达室,小旅馆",△
lofty,a.崇高的，高尚的；高傲的；极高的,▲
log,"n.原木,圆木;航海日志",▲
logic,"n.逻辑,逻辑学",
logical,"a.逻辑的,符合逻辑的",
longitude,n.经度,
loom,"n.织布机,织机 v.隐现,(危险、忧虑等)迫近",▲
loop,"n.圈,环",△
loose,a.(宽)松的；不精确的；自由的，散漫的,△
loosen,"v.解开,放松",
lord,"n.(Lord)上帝,主;主人,长官,君主,贵族",△
lorry,"n.卡车,运货汽车",▲
lottery,n.抽彩；碰运气的事，难于算计的事,△
lounge,"n.休息室,起居室,客厅；v.闲逛,躺卧, 虚度光阴",▲
loyal,"a.(to)忠诚的,忠贞的",▲
loyalty,"n.忠诚,忠心",△
lubricate,"v.润滑,加润滑油,行贿,收买",▲
luggage,"n.行李,皮箱",△
lumber,"n.木材,木料；v.采伐; 堆积; 缓慢的移动",▲
lump,"n.团,块 v.(使)成团,(使)成块",▲
lunar,a.月亮的,△
lung,n.肺,
lure,"n.吸引力,魅力,诱惑物 vt.引诱，吸引",▲
luxury,"n.奢侈,华贵;奢侈品 a.奢华的,豪华的",
machinery,"n.(总称)机器,机械",
magic,"n.魔术,魔(魅)力,巫术 a.有魔力的,魔术的",
magistrate,n.地方行政官，地方法官，治安官,▲
magnet,"n.磁体,磁铁",△
magnetic,"a.磁的,有磁性的;有吸引力的",
magnificent,"a.华丽的,高尚的,宏伟的",△
magnify,"vt.放大,扩大,夸大,夸张",
magnitude,"n.大小,数量;巨大,广大",△
maid,"n.少女,处女,女仆",▲
maiden,"n.少女,处女 a.未婚的,纯洁的,无经验的",▲
mainland,"n.大陆,本土",△
maintain,"v.维修,保养,维持,供养,坚持,主张,支持",
maintenance,"n.维修,保养,维持,保持,生活费用",
majesty,"n.雄伟,壮丽,庄严,威严;最高权威,王权",▲
majority,"n.多数,大多数,成年,法定年龄",
malignant,a.恶性的，致命的；恶意的，恶毒的,▲
mammal,n.哺乳动物,▲
management,"n.经营,管理;处理,操纵;管理部门",
maneuver ,"v. 演习,运动,巧妙地引导某人(物); n.演习,换防",▲
manifest,"v.表明,证明,显示 a.明白的,明了的; n.旅客名单",▲
manipulate,vt.(熟练地)使用，操作；(巧妙地)处理,
manner,"n.方式;举止;(pl.)风度,礼貌;规矩;风俗",
manual,"a.手的,手工做的,体力的 n.手册,指南",
manufacture,"v.制造,加工 n.制造,制造业;产品",
manuscript,"n.手稿,原稿",△
marble,"n.大理石,云石;弹球",▲
margin,n.页边空白;边缘;余地;幅度,▲
marine,"a.海的,海生的;船舶的,航海的",
marital,"a.婚姻的,夫妻之间的",▲
marvelous,"a.(marvellous)惊人的,奇迹般的,妙极的",▲
Marxist,a.马克思主义的 n.马克思主义者,
masculine,"a.男性的,似男性的;［语］阳性的 n.男子,男孩",▲
mask,"n.面具,面罩,口罩;假面具,伪装 v. 掩饰,化装",▲
mass,"n.大量,众多;团,块;(pl.)群众,民众;质量",
massacre,"vt.残杀,集体屠杀 n.残杀,大屠杀",▲
massive,"a.大而重的,厚实的,粗大的;大规模的,大量的",△
master,"n.男主人;师傅;硕士 v.精通,控制 a.主要的",
masterpiece,"n.杰作,名著",△
mat,"n.席子,垫子",▲
mathematical,a.数学的；数学上的,
mature,"a.成熟的,熟的;成年人的 v.(使)成熟",
mayor,n.市长,▲
meadow,"n.草地,牧场",▲
meantime,"n.(meanwhile)其间,其时 ad.同时,当时",
mechanic,"n.技工,机修工",▲
mechanical,"a.机械的,由机构制成的;机械似的,呆板的",
mechanism,"n.机械装置,机构;机制",
medal,"n.奖章,勋章,纪念章",
medieval,"a.中世纪的,中古(时代)的,老式的,原始的",▲
meditate,"v.想,考虑,(尤指宗教上的)沉思,冥想",▲
medium,"n.(pl.media)媒体,方法,媒介,介质 a.中等的",
melody,n.旋律，曲调；悦耳的音乐,
melon,n.甜瓜,
melt,"v.(使)融化,(使)熔化",
memo,n.(memorandum)备忘录,▲
memorial,"a.记忆的,纪念的 n.纪念物,纪念碑,纪念馆",
memory,"n.记忆,记忆力;回忆;存储(器)",
menace,vt./n.有危险性的人(或物)；威胁，威吓,▲
merchandise,"n.商品,货物",▲
merchant,"n.商人,零售商",▲
mercury,"n.水银,汞",
mercy,"n.仁慈,怜悯,宽恕",
mere,"a.纯粹的;仅仅,只不过",△
merely,adv.仅仅，只不过,
merge,v.(使)结合，(使)合并，(使)合为一体,△
message,"n.消息,信息,通讯,启示,教训,广告词,预言",
metaphor,n.隐喻，暗喻,▲
metric,"a.米制的,公制的",
metropolitan,"a.首都的,主要都市的,大城市",▲
microphone,"n.话筒,扩音器",
microscope,n.显微镜,
midst,"n.中间,当中",
migrate,"v.迁移,移居(国外)",
mild,"a.温和的,轻微的,味淡的,不含有害物质的的",▲
militant,a.好战的，富于战斗性的 n.斗士,
military,"a.军事的,军用的,军队的",
mill,"n.磨粉机,磨坊;作坊,工厂；v.研磨,搅拌",▲
millionaire,n.百万富翁,
mingle,v.(使)混合,▲
miniature,"n.缩小的模型,缩图 a.微型的,缩小的",△
minimize,"v.(minimize)使减少到最少,使降到最低",
minimum,"n.最小值,最低限度 a.最小的,最低的",
ministry,n.(政府的)部;牧师,
minor,"a.较小的,较小的 n.兼修学科 ;未成年 v.(in)兼修",
minority,"n.少数,少数派,少数民族",△
minus,"a.负的,减的 prep.减去 n.负号,减号",▲
miracle,"n.奇迹,令人惊奇的人(或事)",
mischief,"n.损害,伤害,危害;恶作剧,胡闹;灾祸",▲
miserable,"a.痛苦的,悲惨的",
misery,"n.痛苦,悲惨,不幸",△
misfortune,"n.不幸,灾祸,灾难",△
mislead,"v.把…带错路,使误入岐途",
missile,"n.导弹,发射物",
mission,"n.使命,任务;使团,代表团",
missionary,a.教会的，传教(士)的 n.传教士,▲
mist,"n.薄雾,霭",▲
misunderstand,"v.误解,误会",
mixture,"n.混合;混合物,混合剂",
mo(u)ld ,"n.模子,铸造; 霉菌,松软泥土; vt.浇铸造型,塑造形成",▲
moan,"n.呻吟声,悲叹声 v.呻吟,抱怨,悲叹",▲
mob,n.乌合之众(尤指暴力者) vi.围攻，聚众闹事,▲
mobilize,"v.(mobilise)动员,赋予可动性",▲
mock,"v.嘲笑,愚弄; a.假的,模拟的 n.(常pl.)模拟考试",▲
moderate,"a.有节制的,中等的,适度的,温和的,稳健的",△
modest,a.谦虚的; 有节制的; 谨慎的,▲
modify,"v.更改,修改,修饰",
module,n.组件，模块，模件；(航天器的)舱,
moist,"a.潮湿的,湿润的,多雨的",
moisture,"n.潮湿,湿气,湿度",
molecule,n.分子,
momentum,"n.动力,要素",▲
monarch,n.帝王，君主，最高统治者           →君主立宪,▲
monetary,"a.金融的,货币的",▲
monopoly,"n.垄断,专卖,专利权,专利事业",▲
monotonous,"a.单调的,无变化的",▲
monster,"n.怪物,妖怪,畸形的动植物",
monument,"n.纪念碑,纪念馆,遗迹,不朽的业绩",
mood,"n.心情,情绪;语气",△
moral,"a.道德(上)的,精神上的 n.寓意,教育意义",
morality,"n.道德,美德",
moreover,"conj./ad.再者,加之,而且",▲
mortal,a.致命的;终有一死的;人世间的 n.凡人,▲
mortgage,n./v.抵押(借款),▲
mosaic,n.马赛克;镶嵌体,▲
mosquito,n.蚊子,
moss,"n.苔,藓,地衣",▲
motion,"n.运动,动;提议,动议 v.提议,动议",
motivate,vt.促动；激励，鼓励，作为…的动机,△
motive,"n.动机,目的 a.发动的,运动的",
mount,"v.登上;安装 n.支架,底板;(用于山名前)山峰",
mourn,"v.哀悼,忧伤,服丧",▲
mug,n.(有柄的)大茶杯,▲
multiple,"a.多样的,多重的 n.倍数 v.成倍增加",
multiply,"v.(by)乘,使相乘;倍增,增加,繁殖",▲
multitude,"n.众多,大量",▲
municipal,"a.市的,市政的;市立的;地方性的,地方自治的",▲
murmur,"v./n.小声说(话);小声抱怨,咕哝",▲
muscle,"n.肌肉,体力",
mushroom,"n.蘑菇 vt.迅速生长,迅速增加,采蘑菇",△
mute,"a.哑的,缄默的n.哑巴;弱音器v.减弱…的声音",
mutter,"n.喃喃而语,小声低语;抱怨 v.低声说,抱怨",▲
mutton,n.羊肉,
mutual,a.相互的，彼此的；共同的，共有的,△
myth,n.神话;虚构的理论,▲
naive,a.天真的,△
naked,"a.裸体的,无遮敝的,无掩饰的",
namely,"ad.即,也就是",▲
nap,"n.小睡,打盹",▲
napkin,"n.餐巾,餐巾纸,<英>尿布",▲
narrative,a.叙述性的 n.叙述,▲
nasty,"a.肮脏的,卑劣的,下流的;令人厌恶的",▲
nationality,"n.国籍,民族",
naval,"n.海军的,军舰的",▲
navigation,"n.航海,航空;导航,领航",
navy,n.海军（常大写 Navy）,▲
necessitate,"v.需要,使成为必要",△
necessity,"n.必要性,需要;必然性;(pl.)必需品",
necklace,n.项链，项圈,
negative,"a.否定的,消极的,阴性的 n.负数;(摄影)底片",
neglect,"v./n.忽视;疏忽,漏做,忽略",
negligible,a.可忽略不计的，微不足道的,▲
negotiate,v.商订；谈判，洽谈，交涉,
nerve,"n.神经;勇敢,胆量",△
nest,"n.窝,巢 v.筑巢",
neutral,"a.中立的;中性的,中和的",▲
nevertheless,"conj.(nonetheless)然而,不过 ad.仍然,不过",
nickel,n.镍;镍币;五美分,
nickname,n.绰号，浑名vt.给…起绰号,▲
niece,"n.侄女,甥女",▲
nightmare,n.恶梦；可怕的事物，无法摆脱的恐惧,
nitrogen,n.氮,
nominal,"a.名义上的;(金额,租金)微不足道的",▲
nominate,"v.提名,任命",▲
nonetheless,ad.虽然如此，但是,▲
norm,"n.准则,规范,平均数",▲
normalization,"n.(normalisation)正常化,标准化",△
notable,"n.值得注意的,显著的,著名的",△
noticeable,"a.显而易见的,值得注意的,重要的",△
notify,"v.通知,告知,报告",
notion,"n.概念,想法,意念,看法,观点",△
notorious,"a.臭名昭著的,声名狼藉的",▲
notwithstanding,prep./ad./conj.尽管,▲
nourish,"v.提供养分,养育,怀有(希望,仇恨等)",
novel,"n.(长篇)小说 a.新奇的,新颖的",
novelty,"n.新奇,新颖,新奇的事物",▲
nowhere,"ad.任何地方都不,没有地方",
nuclear,"a.核心的,中心的;原子核的,核能的",
nucleus,"n.(pl.nuclei)核,核心,原子核",
nuisance,n.讨厌的人(或东西);麻烦事,▲
numb,"a.麻木的,失去感觉的 v.使麻木",▲
numerical,a.数字的，用数字表示的，数值的,
numerous,"a.众多的,许多的,大批的",
nursery,n.托儿所,▲
nurture,"n./v.养育,教育,教养 n.营养品v.给与营养物",
nutrition,"n.营养,营养学",
nylon,n.尼龙,
oak,"n.橡树,橡木 a.橡木的",▲
oar,"n.桨,橹 v.划,划动,划行",▲
oath,"n.誓言,誓约,诅咒",▲
obedience,"n.服从,顺从",▲
obedient,"a.服从的,顺从的",▲
objection,"n.(to)反对,异议,不喜欢,反对的理由",
objective,"n.目标,目的 a.客观的,真实的",△
oblige,"v.强迫,迫使;责成;(使)感激,施恩于",
obscure,"a.暗的,朦胧的;模糊的,晦涩的",△
observation,"n.观察,观测,监视;(pl.)观察资料;观察力",
observe,"v.观察,观测,注意到,监视,遵守,评述,说",
obsession,"n.迷住, 困扰                             →v.obsess",▲
obsolete,"a.已废弃的,过时的",▲
obstacle,"n.障碍(物),妨碍,阻碍,干扰",△
obstruct,"v.阻隔,阻塞(道路、通道等)n.阻碍物,障碍物",▲
obstruction,"n.妨碍,障碍物",▲
obtain,"v.获得,得到",
occasion,"n.场合,时节,时刻;时机,机会",
occasional,"a.偶然的,非经常的,特殊场合的;临时的",
occupation,"n.占领,占据;占用;职业,工作",
occupy,"v.占,占用;占据,占领;使忙碌,使从事",
odd,a.奇数的;奇怪的;单只的;临时的;带零头的,
odds,"n.不平等,差异;机会                 at ～   争执",▲
odor,"n.(odour)气味,香味,臭味,名声",▲
offend,"v.犯罪,冒犯,违反,得罪,使...不愉快",△
offensive,"a.冒犯的,攻击的 n.攻势,进攻",▲
offset,"n.分支,补偿 v.抵消,补偿",△
offspring,"n.子孙,后代;结果,产物",△
omit,"v.省略,删去;遗漏,忽略",△
onion,n.洋葱,△
opaque,"a.不透明(光)的;难理解的,晦涩的",▲
operational,"a.操作的,运转的,起作用的,经营的",
operator,"n.操作人员,(电话)接线员",
opponent,"n.对手,反对者,敌手 a.对立的,对抗的",
oppose,"v.反对,使对立,使对抗,使相对",
oppress,"v.压迫,压制",
opt,vi.抉择，选择,▲
optical,"a.眼的,视力的;光学的",
optimistic,a.乐观主义的,
optimum,a.最适宜的 n.最适宜(条件),
option,"n.选择(权),",
orbit,n.轨道 v.(使)沿轨道行,▲
orchard,"n.果园,果园里的全部果树,<美俚>棒球场",▲
orchestra,n.管弦乐队,▲
orderly,"a.整齐的,有秩序的,有条理的 n.勤务兵",△
ore,"n.矿石,矿砂",▲
organ,"n.器官;机构,机关;风琴",△
organic,a.器官的;有机的;有机体的,
organism,n.生物，有机体,
organization,"n.(organization)组织,团体,机构",
organize,"v.(organise)组织,编组",
orient,"n.东方,亚洲 v.使朝东,为…定位,使适应",
oriental,"a.东方的,东方诸国的 n.东方人",
orientation,"n.方向,方位,定位,倾向性,向东方",
origin,"n.起源,由来;出身,来历",
original,"a.最初的,原文的;新颖的 n.原物,原作,原文",
originate,"v.(in,from)起源,发生;首创,创造",
ornament,"v.装饰,美化 n.装饰,装饰物",▲
orphan,n.孤儿,
orthodox,"a.传统的,正统的,习惯的,保守的,东正教的",▲
outbreak,"n.(战争,愤怒,火灾等的)爆发,(疾病的)发作",
outcome,"n.结果,成果",▲
outer,"a.外部的,外面的,外层的",
outfit,"n.用具,机构,全套装配 v.配备,(得到)装备",▲
outing,"n.外出,旅行,散步",△
outlet,"n.出路,出口;销路,市场;发泄方法;电源插座",△
outline,"n.轮廓,略图;大纲,梗概 v.概述,略述     in ～",
outlook,"n.景色,风光;观点,见解;展望,前景",△
output,"n.产量,输出(量)",
outrage,"n.暴行,侮辱,愤怒 v.凌辱,引起…义愤,强奸",▲
outset,"n.开始,开端",
outskirts,n.郊区,▲
oval,a.卵形的，椭圆形的 n.卵形，椭圆形,▲
overall,"a.全面的,综合的 n.(pl.)(套头)工作服",△
overcome,"v.战胜,克服",
overflow,"v.(使)外溢,(使)溢出;溢出,流出,漫出",
overhead,a.在头顶上的;架空的 ad.在头顶上,
overhear,"v.偶然听到,从旁听到",▲
overlap,"v.重叠,与…交叠 n.重叠",
overlook,"v.看漏,忽略;俯瞰,眺望;宽容,放任",▲
overnight,"a.通宵的,晚上的 ad.在昨夜,一夜工夫,突然",
overpass,"n.过街天桥 vt.胜过,通过,忽视",△
overseas,"a.外国的,海外的 ad.在海外",
overtake,"v.追上,超过；突然降临,压倒",▲
overthrow,"v./n.推翻,颠覆",
overtime,"a.超时的,加班的 ad.加班",
overturn,"n.倾覆,破灭,革命 v.打翻,推翻,颠倒,翻倒",△
overwhelm,"v.淹没,覆没,压倒,制服,使不知所措",△
overwhelming,"a.势不可挡的,压倒的",
owing,"a.欠的,未付的",▲
ownership,"n.所有(权),所有制",
oxide,n.氧化物,
ozone,n.臭氧；(海岸等的)新鲜空气,▲
pace,"n.步,步伐,步调,速度 v.踱步,用步测",△
package,"n.包装,包裹,箱,包装费,标准部件,成套设备",
pact,"n.合同,条约,公约,协定",▲
pad,"n.垫,衬垫;便笺簿 v.加上衬垫",
paddle,n.桨 v.用桨划,▲
pail,"n.桶, 提桶; 一桶的量",▲
palm,"n.手掌,掌状物,棕榈vt.与…握手,藏…于掌中",
pamphlet,n.小册子,▲
panel,"n.面,板;控制板,仪表盘;专门小组",
panic,"n./a.恐慌(的),惊慌(的) vt.使惊慌,使害怕",▲
panorama,"n.全景,全景画,全景摄影,全景照片",▲
pant,"n.喘气 v.喘,气喘吁吁地说",△
paperback,n.平装本，简装本,▲
parachute,n.降落伞(～ troops 伞兵)；v.跳伞,▲
parade,"n./v.游行,夸耀n.检阅,阅兵式v.使列队行进",△
paradise ,n.天堂,
paradox,"n.似非而是的话,自相矛盾的话,反论",▲
paragraph,"n.段,节;小新闻,短评",
parallel,"a.平行的,相同的,类似的n.平行线,类似,对比",
paralyze,v.(paralyse)使瘫痪(麻痹);使丧失作用,▲
parameter,"n.参数,参量",
parasite,"n.寄生虫,食客",▲
parcel,"n.包裹,邮包,部分 v.打包,捆扎,分配",△
parliament,"n.国会,议会",△
partial,"a.部分的,不完全的;偏袒的,不公平的,偏爱的",▲
participant,"n.参加者,参与者 a.有份的,参与的",
participate,"v.(in)参与,参加;分享,分担;含有,带有",
particle,"n.粒子,微粒;极小量;小品词,虚词",
passer-by,n.(pl.passers-by)过路人,△
passion,"n.热情,激情,爱好;激怒;强烈感情",
passive,"a.被动的,消极的",▲
passport,"n.护照,达到某种目的的手段",
paste,"n.糊,浆糊 v.粘,贴",
pastime,"n.消遣,娱乐",▲
pasture,"n.牧草地,牧场",▲
pat,"v./n.轻拍,轻打,抚摸",▲
patch,"n.补丁,斑点,碎片小块 v.补,修补,掩饰",
patent,"a.专利的,特许的n.专利(权、品)v.批准专利",
pathetic,"a.可怜的, 悲惨的",▲
patriotic,a.爱国的,▲
patrol,v.巡逻，巡查 n.巡逻，巡查；巡逻队,
patron,n.赞助人；资助人；老顾客，老主顾,▲
pattern,"n.模式,式样;图案,图样 v.仿制,模仿",△
pave,"v.铺砌,铺(路)",▲
pavement,n.人行道,△
payment,"n.支付,付款额",
peak,"n.山顶,最高点;峰,山峰 a.高峰的,最高的",
peanut,n.花生,▲
pearl,n.珍珠,
pebble,n.卵石,▲
peculiar,"a.古怪的,异常的;特殊的,特有的",△
pedal,"n.踏板 v.踩踏板,骑自行车",▲
pedestrian,"n.步行者 a.徒步的,呆板的,通俗的",▲
peel,"v.削皮,剥皮 n.果皮",▲
peep,"v.偷看,窥视",▲
peer,"n.同辈,同等地位的人;贵族 v.凝视,隐约出现",▲
penalty,"n.处罚,刑罚,惩罚,罚金",△
pendulum,"n.摆,钟摆",▲
penetrate,"v.穿过,渗入,看穿",
peninsula,n.半岛,▲
pension,"n.养老金,年金",▲
pepper,"n.胡椒粉,胡椒;辣椒",△
perceive,"v.察觉,感知;理解,领悟",
percentage,"n.百分数,百分率,百分比",
perform,"v.履行,执行;表演,演出;完成(事业)",
performance,"n.履行,执行;表演,演出;性能,特性;成绩",
perfume,"n.香味,芳香;香料 v.使发香,洒香水于",△
periodical,"n.期刊,杂志 a.周期的,定期的",▲
perish,"v.丧生;凋谢;毁灭,消亡",▲
permanent,"a.永久的,持久的",
permeate,v.弥漫，遍布，散布；渗入，渗透,▲
permission,"n.允许,同意",
permit,"v.许可,允许 n.许可证,执照",
perpetual,"a.永久的,永恒的,长期的",▲
perplex,"v.使困惑,使费解,使复杂化（常用被动语态）",▲
persecute,"v.迫害,惩罚; 烦扰,困扰",▲
persevere,"v.坚持,坚忍,不屈不挠",▲
persist,"v.(in)坚持,持续",
personality,"n.人格,个性",
personnel,"n.全体人员,全体职员;人事(部门)",△
perspective,"n.透视画法,透视图;远景,前途;观点,看法",▲
persuasion,"n.说服,说服力",
pessimistic,a.悲观(主义)的,▲
pest,n.害虫,
petition,"n.请愿书,申请书 v.(向…)请愿,正式请求",▲
petrol,n.汽油,
petroleum,n.石油,
petty,"a.小(器、规模)的,不重要的,细微的,卑鄙的",▲
pharmacy,"n.药房,药剂学,制药业,配药业,一批备用药品",
phase,"n.阶段,状态,时期;相,相位",△
phenomenon,"n.现象,稀有现象,珍品,奇迹,杰出人才",
philosopher,"n.哲学家,哲人",
philosophy,"n.哲学,哲理,人生观,价值观,世界观",
phrase,"n.短语,词语,习语",△
physical,"a.物质的;肉体的,身体的;自然科学的,物理的",
physician,n.内科医生,△
physiological,"a.生理学的, 生理学上的",△
pierce,"v.剌穿,刺破",
pigeon,n.鸽,
pilgrim,"n.(在国外)旅游者;朝圣者,最初的移民",▲
pillar,"n.柱,台柱,栋梁",▲
pillow,n.枕头,△
pinch,"v.捏,掐,拧;收缩;紧急关头;匮乏;压力",▲
pine,n.松树,
pint,n.品脱,▲
pirate,"n./v.海盗,盗版(者)",▲
pistol,n.手枪,△
piston,n.活塞,△
pit,"n.坑,陷阱;煤矿,矿井",▲
pitch,"n.沥青;掷;斜度；v.用沥青覆盖;投掷,扔;扎营",▲
plague,"n.瘟疫,灾害,麻烦,苦恼 vt.折磨,使苦恼",▲
planet,n.行星,
plantation,n.种植园,
plaster,n.灰泥;熟石膏;膏药,▲
plastic,"n.(常pl.)塑料,塑料制品 a.可塑的,塑性的",
plateau,"n.高原,平稳状态",▲
platform,"n.平台,台;站台,月台;政纲,党纲",
plausible,"a.似是而非的,似乎合理的,似乎可信的",▲
plea,n.(法律)抗辩；请求，恳求，托词，口实,▲
plead,"v.恳求,请求;为…辩护;提出…为理由",▲
pledge,n.誓约;保证;抵押品 v.发誓;保证;抵押,▲
plentiful,"a.富裕的,丰富的",
plight,"n.情况,状态,困境,盟誓(婚姻) v.保证,约定",▲
plot,"n.秘密计划;情节 v.标绘,绘制;密谋,策划",
plug,"n.塞子,插头 v.堵,塞,插上,插栓",
plumber,n.(装修水管的)管子工,▲
plunge,"v.(into)(使)投入/插进,陷入;猛冲；n.跳进,投入",▲
plus,"prep.加上 a.正的,加的 n.加号,正号",
pneumonia,n.肺炎,
poetry,"n.诗歌,诗集",
poke,"n.刺,戳,懒汉,袋子 v.戳,刺,伸出,刺探,闲荡",▲
polar,"a.两极的,极地的,南辕北辙的 n.极线,极面",
policy,"n.政策,方针",
polish,"v.磨光,擦亮;使优美,润饰 n.擦光剂,上光蜡",▲
poll,n.民意测验;(pl.)政治选举 v.获得…选票,▲
ponder,"v.沉思,考虑",▲
pope,"n.罗马教皇,主教,大腿上要害部位",▲
porcelain,"n.瓷器 a.精制的,瓷器的",▲
porch,"n.门廊,入口处",▲
portable,"a.轻便的,手提(式)的,可移动的",
porter,"n.守门人,门房,行李搬运工,服务员",▲
portion,"n.一部分,一份",△
portrait,"n.肖像,画像",△
portray,v.描写，描述；画(人物、景象等),
pose,"n.姿势,姿态 v.造成,提出,摆姿势,佯装",
positive,"a.肯定的,积极的,绝对的,无疑的,正的",
possess,"v.占有,拥有",
possibility,"n.可能,可能性;可能的事,希望",
postage,"n.邮费,邮资",
poster,"n海报,张贴的大幅广告",△
postpone,"v.推迟,延期; 放在次要位置, 置…于从属地位",▲
posture,"n.姿势,姿态,心态,态度 v.作出某种姿势",▲
potential,"a.潜在的,可能的 n.潜能,潜力",
poultry,n.家禽,▲
poverty,"n.贫穷,贫困",
powder,"n.粉末,药粉;火药,炸药",
powerful,"a.强大的,有力的,有权的",
practically,"ad.几乎,实际上,简直",
practitioner,n.实践者，从事者；(医生或律师等)开业者,△
pray,"v.请求,恳求;祈祷,祈求",
prayer,"n.祈祷,祷告,祷文",△
